title,author,rating
The Power Of Darkness,Edith Nesbit,1.5
The great god Pan,Arthur Machen,3.6
Carrie,Stephen King,4.0
Misery,Stephen King,4.1
Carmilla,Joseph Sheridan Le Fanu,3.9
Dracula,Bram Stoker,4.0
The Phantom of the Opera,Gaston Leroux,3.9
'Salem's lot,Stephen King,4.0
Strange case of Dr. Jekyll and Mr. Hyde: with other fables and the misadventures of John Nicholson,Robert Louis Stevenson,3.9
Brood of the Witch-queen,Sax Rohmer,4.5
The King in Yellow,Robert W. Chambers,4.1
The Castle of Otranto,Horace Walpole,3.1
Frankenstein,Mary Shelley,3.9
Northanger Abbey,Jane Austen,3.9
The Invisible Man,H. G. Wells,3.8
Twilight,Stephenie Meyer,3.6
The Picture of Dorian Gray,Oscar Wilde,4.1
The Magician's Nephew,C.S. Lewis,4.0
The legend of Sleepy Hollow,Washington Irving,4.2
Daisy Miller,Henry James,3.0
The Island of Doctor Moreau,H. G. Wells,3.7
Fahrenheit 451,Ray Bradbury,4.0
The Subtle Knife,Philip Pullman,4.0
The Turn of the Screw,Henry James,3.3
The Hobbit,J.R.R. Tolkien,4.3
Northern Lights: His Dark Materials,Philip Pullman,4.0
A Christmas carol,Charles Dickens,4.0
The Shining,Stephen King,4.2
It,Stephen King,4.1
The Dark Tower: The Gunslinger,Stephen King,4.2
The Green Mile,Stephen King,4.3
Pet Sematary,Stephen King,4.0
Frankenstein: 1818 Text,Mary Shelley,3.4
New Moon,Stephenie Meyer,4.1
The Dead Zone,Stephen King,4.2
The House of the Seven Gables,Nathaniel Hawthorne,3.4
Breaking Dawn,Stephenie Meyer,3.5
The Stand,Stephen King,4.3
Coraline,Neil Gaiman,4.0
Cujo,Stephen King,3.8
The Exorcist,William Peter Blatty,4.0
The Amber Spyglass,Philip Pullman,3.8
Firestarter,Stephen King,3.9
The Illustrated Man,Ray Bradbury,4.1
The Dark Tower: The drawing of the three,Stephen King,4.2
Percy Jackson and the Lightning Thief,Rick Riordan,4.3
Interview With the Vampire,Anne Rice,3.9
Herland,Charlotte Perkins Gilman,3.3
Bag of Bones,Stephen King,4.0
Flowers in the Attic,V. C. Andrews,4.0
Skeleton Crew,Stephen King,4.3
The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins,3.0
Wizard and Glass,Stephen King,4.1
The Waste Lands: The Dark Tower III,Stephen King,4.2
The Girl Who Loved Tom Gordon,Stephen King,3.8
On Writing,Stephen King,4.2
The Haunted Bookshop,Christopher Morley,4.0
Witch Wood,John Buchan,3.6
The haunting of Hill House,Shirley Jackson,4.0
Needful Things,Stephen King,4.1
The Eyes of the Dragon,Stephen King,4.4
Four Past Midnight,Stephen King,3.9
Night Shift,Stephen King,4.5
Christine,Stephen King,4.0
The Road,Cormac McCarthy,3.8
The Empty House and Other Ghost Stories,Algernon Blackwood,5.0
The Magician,William Somerset Maugham,3.5
Cell: A Novel,Stephen King,3.7
Stuart Little,E. B. White,3.4
The Dark Half,Stephen King,3.8
Day of the Triffids,John Wyndham,4.1
Thinner,Stephen King,3.6
Tales of Terror and Mystery,Arthur Conan Doyle,
Everything's Eventual: 14 Dark Tales,Stephen King,3.8
Petals on the wind,V. C. Andrews,3.9
Something Wicked This Way Comes,Ray Bradbury,4.1
Different Seasons,Stephen King,4.6
The complete poetical works of Percy Bysshe Shelley.,Percy Bysshe Shelley,4.0
The Tommyknockers,Stephen King,4.2
Red Dragon,Thomas Harris,4.3
Insomnia,Stephen King,3.9
Jaws,Peter Benchley,4.4
The Silence of the Lambs,Thomas Harris,4.2
Gerald's Game,Stephen King,3.7
Rose Madder,Stephen King,4.1
Desperation,Stephen King,4.4
From a Buick 8,Stephen King,3.5
Dreamcatcher,Stephen King,3.5
The Mysteries of Udolpho,Ann Radcliffe,3.3
Hearts in Atlantis,Stephen King,4.0
I am legend,Richard Matheson,4.3
Intensity,Dean Koontz,3.7
The October Country,Ray Bradbury,4.6
Lisey's Story,Stephen King,3.5
If there be thorns,V. C. Andrews,3.6
Nightmare Abbey,Thomas Love Peacock,2.5
Doctor Sleep,Stephen King,4.2
Dolores Claiborne,Stephen King,3.1
The vampyre: a tale,John William Polidori,3.5
The Willows,Algernon Blackwood,4.1
Los Suenos De Heaven Leigh,V. C. Andrews,4.2
Rosemary's Baby,Ira Levin,4.0
Congo,Michael Crichton,3.4
Watchers,Dean Koontz,4.0
Wolves of the Calla,Stephen King,4.0
Eaters of the Dead,Michael Crichton,3.8
Stephen King's Danse Macabre,Stephen King,3.9
Ocean at the End of the Lane,Neil Gaiman,4.1
Small Gods,Terry Pratchett,4.2
Hannibal,Thomas Harris,4.2
Damned (Esprios Classics),Algernon Blackwood,4.0
The Passage,Justin Cronin,3.8
Mr. Mercedes,Stephen King,4.1
Bunnicula: A Rabbit Tale of Mystery,Deborah Howe,4.1
Song of Susannah,Stephen King,4.3
Interesting Times,Terry Pratchett,4.2
American Psycho,Bret Easton Ellis,3.9
Neverwhere,Neil Gaiman,4.1
Pyramids: a novel of Discworld,Terry Pratchett,3.9
Phantoms,Dean Koontz,4.2
Say Cheese & Die,Robert Lawrence Stine,3.9
The Polar Express,Chris Van Allsburg,4.1
The Fall of the House of Usher,Edgar Allan Poe,4.2
Duma Key,Stephen King,4.0
The Vampire Lestat: The Second Book in The Vampire Chronicles,Anne Rice,4.3
Collector,John Fowles,4.3
The Queen of the Damned: Book III of The Vampire Chronicles,Anne Rice,3.8
Cat and Mouse,James Patterson,3.3
The Halloween Tree,Ray Bradbury,3.7
Seeds of Yesterday,V. C. Andrews,4.8
The Running Man,Stephen King,3.8
"Full dark, no stars",Stephen King,4.1
Welcome to Dead House,Robert Lawrence Stine,4.2
Night of the living dummy,Robert Lawrence Stine,4.3
The House on the Borderland,William Hope Hodgson,2.5
Nightmares and Dreamscapes,Stephen King,3.9
Just after Sunset: Stories,Stephen King,4.1
We Have Always Lived in the Castle,Shirley Jackson,4.4
The house by the church-yard,Joseph Sheridan Le Fanu,3.4
The Graveyard Book,Neil Gaiman,4.2
Stay Out of the Basement,Robert Lawrence Stine,3.7
Fallen Hearts,V. C. Andrews,4.2
Feet of Clay,Terry Pratchett,4.5
Angel negro,V. C. Andrews,5.0
The Long Walk,Stephen King,4.0
World War Z: an oral history of the zombie war,Max Brooks,3.9
Dead Until Dark,Charlaine Harris,3.8
My Sweet Audrina,V. C. Andrews,3.5
The Chrysalids,John Wyndham,4.4
Dawn,V. C. Andrews,4.0
Kiss Kiss,Roald Dahl,4.6
The Hill of Dreams,Arthur Machen,3.7
Garden of Shadows,V. C. Andrews,4.6
Secrets of the morning,V. C. Andrews,4.8
Jingo,Terry Pratchett,4.3
Gates of Paradise,V. C. Andrews,3.0
Goosebumps - Monster Blood,Robert Lawrence Stine,3.6
The haunted mask,Robert Lawrence Stine,3.4
The Haunted Man and the Ghost's Bargain,Charles Dickens,5.0
Midnight,Dean Koontz,3.4
Odd Thomas,Dean Koontz,4.2
Fragile Things,Neil Gaiman,3.8
Lasher,Anne Rice,4.0
Maus,Art Spiegelman,4.6
The historian: a novel,Elizabeth Kostova,3.7
Ruby,V. C. Andrews,3.3
Eyes of Darkness,Dean Koontz,3.9
Uncle Silas,Joseph Sheridan Le Fanu,4.0
Skulduggery Pleasant,Derek Landy,4.2
The Stepford Wives,Ira Levin,3.5
Welcome to Camp Nightmare,Robert Lawrence Stine,4.3
The Beetle,Richard Marsh,3.7
The White Mountains: The Tripods #1,Sam Youd,4.5
The Vampire Armand,Anne Rice,3.8
Vampire breath,Robert Lawrence Stine,4.2
The Witching Hour,Anne Rice,4.2
Pearl in the Mist,V. C. Andrews,2.3
Let's Get Invisible!: Goosebumps Presents TV Book #11,Robert Lawrence Stine,3.8
Forever Odd,Dean Koontz,4.1
I Shall Wear Midnight,Terry Pratchett,4.4
Psycho,Robert Bloch,4.3
The eye of Osiris: a detective story,R. Austin Freeman,2.0
Cycle of the Werewolf,Stephen King,3.5
Revival,Stephen King,4.0
The bad place,Dean Koontz,3.2
Deep trouble,Robert Lawrence Stine,3.3
GB: Werewolf Of Fever Swamp: Werewolf Of Fever Swamp (GB),Robert Lawrence Stine,3.6
Demon seed,Dean Koontz,3.8
"Wieland; or, The transformation: together with Memoirs of Carwin the biloquist, a fragment",Charles Brockden Brown,5.0
Relic,Douglas Preston,3.9
Web of Dreams,V. C. Andrews,4.4
The Scarecrow Walks at Midnight,Robert Lawrence Stine,4.4
The thief of always,Clive Barker,4.4
More Scary Stories to Tell in the Dark,Alvin Schwartz,3.6
Le Cœur révélateur,Edgar Allan Poe,4.3
Scary Stories to Tell in the Dark,Alvin Schwartz,3.9
Smoke and mirrors: short fictions and illusions,Neil Gaiman,3.8
One day at HorrorLand,R. L. Stine,4.6
The monk: a romance,Matthew Gregory Lewis,4.0
The Tale of the Body Thief: The Vampire Chronicles,Anne Rice,4.1
Taltos: tales of the Mayfair witches,Anne Rice,4.2
Hell House,Richard Matheson,4.1
End of Watch,Stephen King,4.1
If It Bleeds,Stephen King,5.0
The terror: a novel,Dan Simmons,4.5
Marina,Carlos Ruiz Zafón,4.6
Goosebumps - Ghost Beach,Robert Lawrence Stine,3.1
Dean Koontz's Frankenstein: Book One: Prodigal son,Dean Koontz,3.9
The Secret of the Old Mill,Franklin W. Dixon,4.2
The Bazaar of Bad Dreams,Stephen King,4.1
Mr. Murder,Dean Koontz,4.3
The Mist,Stephen King,4.6
The zombie survival guide: recorded attacks,Max Brooks,3.9
Storm of the Century,Stephen King,4.0
At the mountains of madness: and other tales of terror,H.P. Lovecraft,3.8
Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,4.0
The Bachman Books,Stephen King,3.8
The Screaming Staircase,Jonathan Stroud,4.5
Lockwood & Co: The Hollow Boy,Jonathan Stroud,4.5
The Ghost Next Door,Robert Lawrence Stine,4.2
Darkness Comes,Dean Koontz,3.8
"The lottery, or, The adventures of James Harris",Shirley Jackson,4.1
The New Girl: Fear Street #1,Robert Lawrence Stine,4.0
Memnoch the Devil,Anne Rice,4.2
Revenge of the Witch,Joseph Delaney,4.0
Blood of Elves,Andrzej Sapkowski,4.0
The Silver Eyes (Five Nights At Freddy's #1),Scott Cawthon,4.7
Catwings,Ursula K. Le Guin,4.0
The Masque of the Red Death,Edgar Allan Poe,4.2
De akelige aanbidder,Robert Lawrence Stine,3.5
First date,Robert Lawrence Stine,4.0
Halloween Party: Fear Street #8,Robert Lawrence Stine,4.4
"Midnight (Warriors: The New Prophecy, Book 1)",Erin Hunter,4.0
Ghost story,Peter Straub,3.6
The Amityville Horror,Jay Anson,2.7
How to Kill a Monster: Goosebumps #46,R. L. Stine,3.8
R.L. Stine's dangerous girls,Robert Lawrence Stine,4.0
The Overnight: Fear Street #3,Robert Lawrence Stine,2.9
黒猫,Edgar Allan Poe,4.1
Cirque du Freak,Darren Shan,4.8
The house of thunder,Dean Koontz,3.2
The odd number: thirteen tales by Guy de Maupassant,Guy de Maupassant,3.8
The Dark Tower VII: The Dark Tower,Stephen King,4.2
Come closer,Sara Gran,3.9
Annihilation,Jeff VanderMeer,3.6
The Sandman: preludes & nocturnes : volume I,Neil Gaiman,4.3
The Green Mile: Part One: The two dead girls,Stephen King,3.9
The First evil,Robert Lawrence Stine,2.5
Lightning,Dean Koontz,3.7
Heart-shaped box,Joe Hill,3.5
The Wrong Number: Fear Street #5,R. L. Stine,4.2
The book of dreams and ghosts,Andrew Lang,
The Sleepwalker: Fear Street #6,Robert Lawrence Stine,3.5
Remember Me,Christopher Pike,3.5
Silent Night: Fear Street Super Chiller #2,Robert Lawrence Stine,4.0
Swan song,Robert R. McCammon,4.3
Mexican Gothic,Silvia Moreno-Garcia,4.3
The Secret Bedroom: Fear Street #13,Robert Lawrence Stine,4.2
Revenge of the Living Dummy: Goosebumps HorrorLand #1,Robert Lawrence Stine,4.4
Scary Stories 3,Alvin Schwartz,3.9
The Best Friend (Fear Street),Robert Lawrence Stine,4.0
Switched: Fear Street #31,R. L. Stine,4.0
Sunburn: Fear Street #19,Robert Lawrence Stine,3.5
The LAST VAMPIRE (LAST VAMPIRE 1): THE LAST VAMPIRE,Christopher Pike,3.6
Lockwood & Co.: The Whispering Skull,Jonathan Stroud,4.8
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,4.5
Missing: Fear Street #4,R. L. Stine,2.6
The Cheater: Fear Street #18,Robert Lawrence Stine,4.0
House of Leaves,Mark Z. Danielewski,4.3
The Stepsister,Robert Lawrence Stine,4.2
The hellbound heart,Clive Barker,3.6
The girlfriend,Robert Lawrence Stine,3.3
College Weekend,Robert Lawrence Stine,3.6
Books of Blood: Volumes One to Three,Clive Barker,4.0
The Knife: Fear Street #14,Robert Lawrence Stine,3.8
The Prom Queen,Robert Lawrence Stine,4.3
"The Works of Edgar Allan Poe: The Raven Edition, Volume 2",Edgar Allan Poe,3.0
Bury Me Deep,Christopher Pike,4.3
The Dare: Fear Street #21,Robert Lawrence Stine,4.2
Coraline,P. Craig Russell,4.1
Hideaway,Dean Koontz,3.0
I am legend: the last man on earth,Richard Matheson,4.1
The Confession: Fear Street #38,Robert Lawrence Stine,3.2
Weekend (Point),Christopher Pike,4.0
The boyfriend,Robert Lawrence Stine,3.8
The Surprise Party: Fear Street #2,R. L. Stine,3.3
Night Chills,Dean Koontz,4.5
The taking,Dean Koontz,4.0
Witch,Christopher Pike,4.0
The Fire Game: Fear Street #11,Robert Lawrence Stine,3.3
The Wrong Number 2: Fear Street #27,R. L. Stine,3.2
The New Boy: Fear Street #20,Robert Lawrence Stine,3.6
Blind Date,Robert Lawrence Stine,4.0
The Perfect Date: Fear Street #37,Robert Lawrence Stine,4.0
Road to Nowhere,Christopher Pike,4.3
"Sandman, Volume 4: Season of Mists",Neil Gaiman,4.6
Her Body and Other Parties: Stories,Carmen Maria Machado,3.5
Tales To Give You Goosebumps #1: Ten Spooky Stories,R. L. Stine,3.9
Truth or Dare: Fear Street #28,Robert Lawrence Stine,3.8
Runaway: Fear Street #41,Robert Lawrence Stine,4.6
All-night party,Robert Lawrence Stine,3.2
Double Date: Fear Street #23,Robert Lawrence Stine,4.1
HAUNTED,Robert Lawrence Stine,3.9
The Boy Next Door: Fear Street #39,Robert Lawrence Stine,4.1
Ski Weekend: Fear Street #10,Robert Lawrence Stine,4.4
What Holly heard,R. L. Stine,3.3
John Dies at the End,David Wong,3.7
Killer's Kiss: Fear Street #42,Robert Lawrence Stine,4.0
One Evil Summer: Fear Street #25,Robert Lawrence Stine,3.9
Fall into darkness,Christopher Pike,3.5
The Girl Next Door,Jack Ketchum,4.2
Monster,Christopher Pike,3.5
The Thrill Club: Fear Street #24,Robert Lawrence Stine,3.6
Last Act,Christopher Pike,4.5
The Ruins,Scott Smith,4.0
Dead End: Fear Street #29,Robert Lawrence Stine,3.9
Not even bones,Rebecca Schaeffer,4.5
Bad dreams,Robert Lawrence Stine,3.9
The Sandman: Endless Nights,Neil Gaiman,4.0
Night games,R. L. Stine,3.6
The Rich Girl: Fear Street #44,Robert Lawrence Stine,3.9
The enemy,Charles Higson,4.2
Fledgling,Octavia E. Butler,3.7
Slumber Party (Point Paperback),Christopher Pike,3.6
Fear Street - Superchillers: Lights Out (Fear Street - Superchillers),Robert Lawrence Stine,4.0
Chain Letter,Christopher Pike,3.0
Exquisite corpse,Poppy Z. Brite,4.3
"In a dark, dark, room and other scary stories",Alvin Schwartz,4.0
The curse of the mummy's tomb,Robert Lawrence Stine,4.2
Satan's Affair,H. D. Carlton,3.4
Bones & All,Camille DeAngelis,5.0
"Dracula: An Authoritative Text, Contexts, Reviews and Reactions, Dramatic and Film Variations, Criticism",Bram Stoker,3.8
The Stepbrother: New Fear Street #1,Robert Lawrence Stine,3.9
Blackwood Farm,Anne Rice,3.7
The Midnight Club,Christopher Pike,4.0
The Lottery,Shirley Jackson,3.7
The Vampire Diaries: The Awakening and The Struggle,Lisa Jane Smith,3.5
Best Friend 2: Fear Street #50,R. L. Stine,3.8
Stalking Jack the Ripper,Kerri Maniscalco,3.9
Police !!!,Robert W. Chambers,4.0
Master of Murder,Christopher Pike,4.0
Gideon the Ninth,Tamsyn Muir,4.3
The Mind Reader: Fear Street #26,Robert Lawrence Stine,4.2
Fear Hall: The Beginning: Fear Street #46,Robert Lawrence Stine,4.2
Dream Country,Neil Gaiman,4.3
Vampires don't wear polka dots: by Debbie Dadey and Marcia Thornton Jones ; illustrated by John Steven Gurney.,Marcia Thornton Jones,4.2
Fear Street Sagas: Daughters of Silence #6,Wendy Haley,
Strange Highways,Dean Koontz,3.6
Only Good Indians,Stephen Graham Jones,4.8
Imaginary Friend,Stephen Chbosky,4.0
Scavenger hunt,Christopher Pike,3.5
The hidden children,Robert W. Chambers,
Uzumaki: Spiral into horror,Junji Ito,4.3
Dr. Nikola's Experiment,Guy Boothby,
Cold fire,Dean Koontz,3.2
The Fear Street Saga : The Betrayal; The Secret; The Burning (Fear Street Collector's Edition Ser.),Robert Lawrence Stine,5.0
Yu-Gi-Oh!: The Duelest Vol. 22 (Yu-Gi-Oh! (Graphic Novels)),Kazuki Takahashi,4.3
Carrion comfort,Dan Simmons,3.5
City of Bones: The Mortal Instruments Book 1,Cassandra Clare,4.0
Shadowfires,Dean Koontz,3.6
The Door to December,Dean Koontz,4.0
"In a Dark, Dark Room and Other Scary Stories Book and CD (I Can Read Book 2)",Alvin Schwartz,3.4
The Talisman and Black House,Stephen King,4.1
Twisted,Robert Lawrence Stine,3.0
Merrick: a novel,Anne Rice,4.3
ODD HOURS,Dean Koontz,3.5
City of Bones: The Mortal Instruments Book 1,Cassandra Clare,3.9
Betrayed: a House of Night novel,P. C. Cast,4.6
The haunted school,R. L. Stine,4.0
The First Scream: Fear Street: Fear Park #1,Robert Lawrence Stine,3.7
The Short Second Life of Bree Tanner,Stephenie Meyer,3.6
Voice of the Night,Dean Koontz,3.5
Servant of the Bones,Anne Rice,4.3
Midnight Whispers,V. C. Andrews,3.7
Goosebumps: Vanishing Collection (Goosebumps),Robert Lawrence Stine,4.2
City of Ashes: The Mortal Instruments Book 2,Cassandra Clare,4.8
Whispers,Dean Koontz,4.0
Things Have Gotten Worse Since We Last Spoke,Eric Larocca,3.1
Penpal,Dathan Auerbach,3.7
Authority,Jeff VanderMeer,3.4
Blood and Gold,Anne Rice,4.4
Shadow Kiss,Richelle Mead,4.2
Goosebumps: Collection 14,R. L. Stine,4.8
Five Nights at Freddy's: official character encyclopedia,Scott Cawthon,4.1
The Curse of Camp Cold Lake,Robert Lawrence Stine,3.9
The Shining / 'Salem's Lot / Night Shift / Carrie,Stephen King,4.8
Goodnight Kiss: Fear Street Super Chiller #3,R. L. Stine,
Beach party,Robert Lawrence Stine,5.0
The Bad Girl: New Fear Street #4,Robert Lawrence Stine,3.6
La Vampiro Pandora,Anne Rice,3.5
The Vampire Diaries: The Struggle,Lisa Jane Smith,4.9
Attack of the Jack-o'-lanterns: Goosebumps #48,Robert Lawrence Stine,3.2
Haunted: a novel of stories,Chuck Palahniuk,3.6
The Vampire Diaries: The Awakening & The Struggle,Lisa Jane Smith,5.0
The Babysitter - Books 3 & 4,Robert Lawrence Stine,4.0
Damián,Alex Mírez,4.7
The Betrayal: The Fear Street Saga #1,Robert Lawrence Stine,3.7
Remember me 2: the return,Christopher Pike,5.0
Dance of Death: Fear Street Sagas #8,Robert Lawrence Stine,
The stepsister 2,Robert Lawrence Stine,3.5
"Pharos, The Egyptian",Guy Boothby,
The Call of Cthulhu,H.P. Lovecraft,3.3
The Face: Fear Street #35,Robert Lawrence Stine,3.4
Final Girl Support Group,Grady Hendrix,3.1
City of Lost Souls: The Mortal Instruments Book 5,Cassandra Clare,4.6
Beyond the Black River,Robert E. Howard,
The Key to Midnight,Dean Koontz,3.0
The Unwanteds: The Unwanteds #1,Lisa McMann,5.0
Pride and Prejudice and Zombies: The Classic Regency Romance—Nowow With Ultraviolent Zombie Mayhem,Seth Grahame-Smith,3.0
Bitten,Kelley Armstrong,3.2
The Centaur.,Algernon Blackwood,4.5
Wicked #10 (Fear Street: Seniors),Robert Lawrence Stine,4.0
Let's Party!: Fear Street Seniors #1,Robert Lawrence Stine,3.5
"The Walking Dead, Vol. 1: Days Gone Bye",Robert Kirkman,4.4
Endymion,Dan Simmons,4.0
The Bane Chronicles,Cassandra Clare,4.4
The Secret: The Fear Street Saga #2,Robert Lawrence Stine,4.4
Blood canticle,Anne Rice,4.0
The lost mind.,Christopher Pike,4.3
How I got my shrunken head,Robert Lawrence Stine,4.4
The haunting hour,Robert Lawrence Stine,3.5
Ghost stories of an antiquary,Montague Rhodes James,4.0
Harvest Home,Thomas Tryon,4.3
What Moves the Dead,T. Kingfisher,3.7
The funhouse,Dean Koontz,3.8
Lockwood & Co.: The Creeping Shadow,Jonathan Stroud,4.8
Circle of Fire: Fear Street Sagas #11,Robert Lawrence Stine,5.0
The Snowman,Robert Lawrence Stine,3.7
Hex,Thomas Olde Heuvelt,3.9
Escape From HorrorLand: Goosebumps HorrorLand #11,Robert Lawrence Stine,4.8
Imajica,Clive Barker,4.6
Tales from the Shadowhunter Academy,Cassandra Clare,4.8
Vendetta!,Marie Corelli,3.0
The Body,Stephen King,4.5
Don't Stay Up Late: Fear Street Novel #2,Robert Lawrence Stine,4.4
The fourth closet,Scott Cawthon,5.0
Night of the living dummy III,Robert Lawrence Stine,4.0
A New Fear: Fear Street Sagas #1,Robert Lawrence Stine,5.0
The prestige,Christopher Priest,3.7
All That Glitters,V. C. Andrews,3.0
The fifth child,Doris Lessing,3.0
Necroscope.,Brian Lumley,3.8
"The Haunted and the Haunters, Or, The House and the Brain","Edward Bulwer Lytton, Baron Lytton",5.0
The Wendigo,Algernon Blackwood,3.0
Cabal,Clive Barker,4.2
SAINT ODD,Dean Koontz,3.7
A night in terror tower,Robert Lawrence Stine,3.6
NOS4A2: A Novel,Joe Hill,3.6
Darkest Hour,V. C. Andrews,4.0
Deep,Nick Cutter,4.4
The Twelve: a novel,Justin Cronin,3.7
Dragon tears,Dean Koontz,3.2
Song of Ice and Fire,George R. R. Martin,4.0
Goosebumps: Creepy Creatures: 3 goulish graphix tales,R. L. Stine,4.4
Spellbound,Christopher Pike,3.5
The House on Hackman's Hill,Joan Lowery Nixon,3.0
Broken Hearts: Fear Street Super Chiller #4,R. L. Stine,5.0
Who Killed the Homecoming Queen?: Fear Street #48,Robert Lawrence Stine,4.0
The servants of twilight,Dean Koontz,3.0
The Dark Descent,David G. Hartwell,
Northanger Abbey and Persuasion: In Four Volumes,Jane Austen,4.0
Be careful what you wish for,Robert Lawrence Stine,3.6
The Summoning,Kelley Armstrong,4.8
Necronomicon: The Weird Tales of H. P. Lovecraft (Gollancz SF),H.P. Lovecraft,4.4
MEG: Primal Waters,Steve Alten,4.1
Creepella von Cacklefur 03 Ghost Pirate Treasure,Elisabetta Dami,4.1
The Lancashire witches: a romance of Pendle forest,William Harrison Ainsworth,4.0
The little stranger,Sarah Waters,3.7
Cat: Fear Street #45,R. L. Stine,4.5
The killer and the slain: a strange story.,Hugh Walpole,
Anne Frank: The Diary of Anne Frank / Excerpts from Anne Frank: The Diary of a Young Girl,Frances Goodrich,5.0
Beach house,Robert Lawrence Stine,3.0
"Edgar Huntly: or, Memoirs of a sleep-walker",Charles Brockden Brown,
Skin: and Other Stories,Roald Dahl,3.3
The eternal enemy,Christopher Pike,
Final Friends Book 1: The Party,Christopher Pike,5.0
Scream for Us,Molly Doyle,4.0
Nightmare hour,Robert Lawrence Stine,4.3
The Girl Who Cried Monster: Goosebumps #8,Robert Lawrence Stine,3.0
The first horror,Robert Lawrence Stine,4.0
"THE VAMPIRE CHRONICLES BOOKS 1-3 (THE VAMPIRE CHRONICLES, BOOKS I-III)",Anne Rice,5.0
The babysitter II,Robert Lawrence Stine,4.0
Anna Dressed in Blood,Kendare Blake,4.1
Hellboy Volume 8: Darkness Calls (Hellboy (Graphic Novels)),Michael Mignola,4.1
The Gift: Fear Street Seniors #6,Robert Lawrence Stine,4.0
The Burning: The Fear Street Saga #3,R. L. Stine,4.7
Deep and dark and dangerous,Mary Downing Hahn,5.0
From hell: being a melodrama in sixteen parts,Alan Moore,4.2
Acceptance,Jeff VanderMeer,3.5
Night of the Living Dummy II: Goosebumps Presents #5,Robert Lawrence Stine,4.0
The train,Diane Hoh,5.0
Spring Break (Fear Street Superchiller: Seniors #9),Robert Lawrence Stine,
In Too Deep: Fear Street Seniors #2,Robert Lawrence Stine,4.5
The face of fear,Dean Koontz,4.1
The Mask,Dean Koontz,5.0
Remember Me 3: The Last Story,Christopher Pike,
The wicked heart,Christopher Pike,5.0
The Hand of Power: Fear Street Sagas #16,Robert Lawrence Stine,
Goosebumps: The Blob That Ate Everyone (Goosebumps),Robert Lawrence Stine,3.7
The Vision,Dean Koontz,3.0
Hollow City,Ransom Riggs,3.6
You can't scare me,Robert Lawrence Stine,3.5
Five Nights at Freddy's Collection,Scott Cawthon,4.2
The Swarm: A Novel,Frank Schätzing,3.9
The Case of Charles Dexter Ward,H.P. Lovecraft,3.8
A Night in the Lonesome October,Roger Zelazny,3.6
Say Cheese and Die--Again!: Goosebumps #44,Robert Lawrence Stine,3.9
Twilight's Child,V. C. Andrews,4.2
The Third Horror: 99 Fear Street: The House of Evil #3,R. L. Stine,2.5
Someone like you,Roald Dahl,4.0
Lullaby: a novel,Chuck Palahniuk,4.3
The Streets of Panic Park: Goosebumps HorrorLand #12,Robert Lawrence Stine,2.6
The window.,Carol Ellis,3.0
The Baby-Sitter IV,Robert Lawrence Stine,5.0
The babysitter III,Robert Lawrence Stine,
Down a dark hall,Lois Duncan,4.7
House on the Borderland,William Hope Hodgson,
Ghost Camp,Robert Lawrence Stine,4.3
Fear Street. Schulschluss. Diese Klasse wird deine letzte sein.,Robert Lawrence Stine,
Night Film,Marisha Pessl,4.0
Lock In: A Novel of the Near Future,John Scalzi,4.0
Lockwood & Co.: The Empty Grave,Jonathan Stroud,4.5
The Thirst: Fear Street Seniors #3,Golden Books,
