title,author,rating
Blood and chocolate,Annette Curtis Klause,4.0
The abominable snowman of Pasadena,Robert Lawrence Stine,3.8
Creep From the Deep: Goosebumps HorrorLand #2,Robert Lawrence Stine,3.2
Haunted: A Tale of the Mediator,Meg Cabot,4.8
The Starlight Crystal,Christopher Pike,4.7
Silent Night 3: Fear Street Super Chiller #11,R. L. Stine,2.5
Melody,V. C. Andrews,
In a Glass Darkly,Joseph Sheridan Le Fanu,3.5
The Mummy: or Ramses the damned,Anne Rice,4.0
The Feast of All Saints,Anne Rice,3.0
Dean Koontz's Frankenstein: Book Two: City of Night,Dean Koontz,4.0
The Summer I Died,Ryan C. Thomas,4.0
Hidden Jewel,V. C. Andrews,4.0
Return Of The Vampire,Elisabetta Dami,4.3
Cheerleaders: The Evil Lives!: Fear Street Super Chiller #13,Robert Lawrence Stine,3.3
The accident,Diane Hoh,3.0
Scary!,Peter Haining,3.8
Clive Barker's books of blood,Clive Barker,5.0
Dark Forces,Kirby McCauley,
Marvel Masterworks: Daredevil Volume 1. (Reprints Daredevil Nos. 1-11) (ComicCraft cover) (1999),Stan Lee,4.0
"A Shocker on Shock Street (Goosebumps, #35)",Robert Lawrence Stine,3.0
Broken date,Robert Lawrence Stine,1.7
Tunnels of blood,Darren Shan,4.3
Why I Quit Zombie School: Goosebumps Hall of Horrors #4,Robert Lawrence Stine,4.5
"The Last Vampire: Collector's Edition, Vol. 1 (The Last Vampire 1/ The Last Vampire 2: Black Blood/ The Last Vampire 3: Red Dice)",Christopher Pike,4.4
House of Whispers: Fear Street Sagas #2,R. L. Stine,
The Deadly Fire: Fear Street: The Cataluna Chronicles #3,Robert Lawrence Stine,3.2
Cheerleaders: the second evil,Robert Lawrence Stine,4.0
The cold one,Christopher Pike,4.0
Los Langoliers,Stephen King,3.8
"Confessor: Chainfire Trilogy, Part 3 (Sword Of Truth, Book 11)",Terry Goodkind,3.9
Christopher Pike's #2 tales of terror,Christopher Pike,1.0
Party Games: Fear Street Novel #1,Robert Lawrence Stine,3.0
Ballad of Black Tom,Victor D. LaValle,3.9
The hollow skull,Christopher Pike,4.4
The Purple Cloud,M. P. Shiel,4.0
The season of passage,Christopher Pike,5.0
"Death Note, Vol. 8",Tsugumi Ohba,4.4
Salem possessed: the social origins of witchcraft,Paul S. Boyer,4.0
Hit and run,Robert Lawrence Stine,4.0
Winter Moon,Dean Koontz,
Calling all creeps! /R.L. Stine,Robert Lawrence Stine,4.0
The Graduation,Christopher Pike,4.0
The Evil Moon: Fear Street: The Cataluna Chronicles #1,Robert Lawrence Stine,4.0
"I Live In Your Basement! (Goosebumps, No. 61)",Robert Lawrence Stine,3.6
Night Land: from the Future-Archaic,William Hope Hodgson,
Call Waiting,Robert Lawrence Stine,3.1
"Demonata #1, The: Lord Loss: Book 1 in the Demonata series (The Demonata)",Darren Shan,4.2
Shattered,Dean Koontz,
The Haunted Mask II,Robert Lawrence Stine,2.6
Great Automatic Grammatizator: & Other Stories,Roald Dahl,3.7
Goosebumps - Piano lessons can be murder: Piano lessons can be murder,Robert Lawrence Stine,3.3
Can Such Things Be?,Ambrose Bierce,4.0
Vittorio the vampire,Anne Rice,5.0
The New Year's Party: Fear Street Super Chiller #9,Robert Lawrence Stine,2.0
Weaveworld,Clive Barker,3.3
Chainfire,Terry Goodkind,3.8
High Tide: Fear Street Super Chiller #12,R. L. Stine,2.0
El príncipe Lestat y los reinos de la Atlántida,Anne Rice,5.0
The Collected Short Stories,Roald Dahl,3.7
Final Friends: Book 2: The Dance,Christopher Pike,5.0
The Devil rides out,Dennis Wheatley,3.5
Tick tock.,Dean Koontz,3.2
Let the right one in,John Ajvide Lindqvist,3.5
The Dunwich horror,H.P. Lovecraft,4.2
The Green Mile: Part Two: The Mouse on the Mile,Stephen King,4.7
"Dark, Dark Tale",Ruth Brown,4.0
Definitely dead,Charlaine Harris,3.8
Zone one,Colson Whitehead,3.1
"All Souls' Night, a Book of Stories",Hugh Walpole,
Tarnished Gold,V. C. Andrews,
Vampire Mountain,Darren Shan,4.1
The Dark Secret: Fear Street: The Cataluna Chronicles #2,Robert Lawrence Stine,3.0
The dead girlfriend,Robert Lawrence Stine,3.0
Twilight eyes,Dean Koontz,3.8
Olivia,V. C. Andrews,
Superstitious,Robert Lawrence Stine,3.0
The Fog,James Herbert,3.5
Funhouse,Diane Hoh,3.0
The New Evil: Fear Street Super Chiller #8,Robert Lawrence Stine,2.0
The human chord,Algernon Blackwood,
Guilty,Diane Hoh,4.0
Los insanos😩: Los insanos 😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩,Scott Cawthon,4.9
Goosebumps - Phantom of the Auditorium,Robert Lawrence Stine,4.6
The Rats,James Herbert,4.0
Jack Sheppard: a romance,William Harrison Ainsworth,
City of Heavenly Fire: The Mortal Instruments Book 6,Cassandra Clare,4.7
The Diary of Ellen Rimbauer: My Life at Rose Red,Ridley Pearson,3.7
Lost Boy: The True Story of Captain Hook,Christina Henry,4.8
Kipling's Rikki-Tikki Tavi (Chuck Jones Classic),Rudyard Kipling,5.0
Hobbit and the Lord of the Rings Boxed Set,J.R.R. Tolkien,4.6
"Goosebumps, return of the mummy",Robert Lawrence Stine,3.7
Through the Woods,Emily Carroll,4.1
"The Captain of the Polestar, and other tales.",Arthur Conan Doyle,
The Barking Ghost,R. L. Stine,3.4
Deeply odd,Dean Koontz,3.4
Holly: A Novel,Stephen King,3.5
The oath,Frank E. Peretti,4.8
Strangers,Dean Koontz,
Locke & Key: Welcome to Lovecraft,Joe Hill,4.0
Dream a little dream,Kerstin Gier,5.0
The invitation,Diane Hoh,5.0
Fuzzy mud,Louis Sachar,4.0
The Cask of Amontillado,Edgar Allan Poe,4.2
The Dead Lifeguard: Fear Street Super Chiller #6,Robert Lawrence Stine,2.0
The Beast From the East,Robert Lawrence Stine,3.0
Execution of innocence,Christopher Pike,4.0
A kiss of shadows,Laurell K. Hamilton,4.0
I am your evil twin,Robert Lawrence Stine,3.5
The lunatic cafe,Laurell K. Hamilton,3.4
Twisted Ones: The Graphic Novel,Kira Breed-Wrisley,5.0
Monstruos Oviparos De Marte/egg Monsters From Mars,Robert Lawrence Stine,3.0
Library of Souls (Miss Peregrine’s Peculiar Children #3),Ransom Riggs,3.9
Stranger and Stranger (Emily the Strange #2),Rob Reger,4.0
The City of Mirrors,Justin Cronin,4.7
The master-Christian,Marie Corelli,
Bad Hare Day: Goosebumps #41,Robert Lawrence Stine,3.5
Halloween Night,Robert Lawrence Stine,3.0
The Last Scream: Fear Street: Fear Park #3,R. L. Stine,5.0
Three Hearts and Three Lions,Poul Anderson,3.0
The Talisman,Stephen King,
The Third Evil: Fear Street Cheerleaders #3,Robert Lawrence Stine,2.0
Fear Hall: The Conclusion: Fear Street #47,R. L. Stine,4.5
Summer of Fear,Lois Duncan,4.3
Tales for the midnight hour: stories of horror,Judith Bauer Stamper,5.0
Falling,Christopher Pike,5.0
Tales of Mystery and Imagination,Edgar Allan Poe,5.0
April Fools (Point Thriller),Richie Tankersley Cusick,3.5
Spring Break,Barbara Steiner,3.0
The Vampire Prince,Darren Shan,4.3
Horrorstör,Grady Hendrix,3.9
Locked in time,Lois Duncan,5.0
Silent Night 2: Fear Street Super Chiller #5,R. L. Stine,3.0
Claws!: Goosebumps Hall of Horrors #1,R. L. Stine,4.2
Bird box,Josh Malerman,4.8
Phantom,Susan Kay,4.3
Rapunzel's Revenge,Shannon Hale,4.7
The Headless Ghost,Robert Lawrence Stine,4.2
Later,Stephen King,4.2
Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,4.6
Asylum,Madeleine Roux,4.3
Nightmare Hall #2 The Roommate,Diane Hoh,4.0
Goodnight Kiss 2: Fear Street Super Chiller #10,Robert Lawrence Stine,
The Lurker at the Threshold,August Derleth,
The Sandman: World's End,Neil Gaiman,4.5
Revenge of the Lawn Gnomes (Goosebumps),Robert Lawrence Stine,3.0
My Friends Call Me Monster: Goosebumps HorrorLand #7,Robert Lawrence Stine,4.5
The Wolf Gift,Anne Rice,4.0
Lost souls,Poppy Z. Brite,4.0
"Beware, the snowman",Robert Lawrence Stine,4.0
The last vampire 5: evil thirst,Christopher Pike,3.0
Thirteen: 13 tales of horror,T. Pines,4.0
Book Eaters,Sunyi Dean,4.3
What dreams may come,Richard Matheson,4.5
The Chronicles of Vladimir Tod: Eighth Grade Bites (Chronicles of Vladimir Tod),Z Brewer,5.0
Chain Letter 2 - The Ancient Evil,Christopher Pike,4.0
Deltora Quest: Special Edition Books 1-4,Emily Rodda,4.5
The Faceless Ones,Derek Landy,5.0
Great Short Stories of the World,Barrett Harper Clark,
The Works of Edgar Allan Poe: Volume 1,Edgar Allan Poe,3.0
The Jewel of Seven Stars,Bram Stoker,4.5
A Dowry of Blood,S. T. Gibson,3.3
The fever,Diane Hoh,4.0
The Second Horror: 99 Fear Street: The House of Evil #2,Robert Lawrence Stine,3.0
#Horror,Siddhartha Sarma,5.0
Twisted Ones,T. Kingfisher,4.0
The dead boyfriend,Robert Lawrence Stine,4.5
The extra day,Algernon Blackwood,
"The Works of Edgar Allan Poe, Raven Edition, Volume 5",Edgar Allan Poe,
THE SAGA OF DARREN SHAN (7) - HUNTERS OF THE DUSK,Darren Shan,4.4
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,4.0
Christorpher Pike's Tales of Terror: No. 1,Christopher Pike,5.0
Dragon Book: Magical Tales from the Masters of Modern Fantasy,Jack Dann,4.0
The Other,Thomas Tryon,4.0
Bad Moonlight: Fear Street Super Chiller #8,Robert Lawrence Stine,4.0
Fright Night #3: The Dead Remember,NOW Comics,
The Green Mile: Part Three: Coffey's Hands,Stephen King,4.4
Goosebumps,R. L. Stine,5.0
Sangre De Monstruo II (Escalofrios,Robert Lawrence Stine,3.0
The regulators,Stephen King,
Black blood,Christopher Pike,4.5
Don't Go to Sleep: Goosebumps #54,Robert Lawrence Stine,4.0
Dead to the world,Charlaine Harris,3.8
The Dead Game,A. Bates,3.0
The Laughing Corpse (Anita Blake Vampire Hunter),Laurell K. Hamilton,3.9
The Vampire Diaries: Stefan's Diaries Vol. 6 The Compelled,Lisa Jane Smith,4.7
Dreams of Gods and Monsters,Laini Taylor,4.8
Devolution,Max Brooks,3.7
Great Tales of Edgar Allen Poe,Edgar Allan Poe,4.0
How I learned to fly,R. L. Stine,3.7
The girl from the well,Rin Chupeco,4.0
Innocence,Dean Koontz,
20th Century Ghosts,Joe Hill,3.8
Guilty Pleasures (Anita Blake Vampire Hunter),Laurell K. Hamilton,3.7
The wolf-leader,Alexandre Dumas,4.0
The great and secret show: the first book of the art,Clive Barker,3.5
Cry to Heaven,Anne Rice,3.5
Prince Lestat,Anne Rice,3.8
Black House,Stephen King,
Tomie: Complete Deluxe Edition,Junji Ito,3.4
Beyond the Shadows,Brent Weeks,4.1
How to Sell a Haunted House,Grady Hendrix,3.0
SUMMER HORROR FEAR STREET COLLECTORS EDITION 6: SUNBURN THE DEAD LIFEGUARD ONE EVIL SUMMER (Fear Street Collector's Edition),R. L. Stine,5.0
Jade green: a ghost story,Phyllis Reynolds Naylor,3.7
Seven Gothic Tales,Isak Dinesen,4.0
The Damnation Game,Clive Barker,3.4
Odd apocalypse,Dean Koontz,3.7
Shadowland,Peter Straub,2.0
Nettle and Bone,T. Kingfisher,4.8
El Chico Que Se Trago Fear Street,R. L. Stine,5.0
The last vampire 3: red dice,Christopher Pike,4.0
The uninvited,Dorothy MacArdle,3.0
The night gardener: a scary story,Jonathan Auxier,4.7
The old Willis place: a ghost story,Mary Downing Hahn,3.0
My best friend is invisible,Robert Lawrence Stine,3.6
50 great horror stories,John Canning,5.0
Hogg: A Novel,Samuel R. Delany,5.0
Cirque du freak: Sons of destiny,Darren Shan,4.1
The return,Walter De la Mare,
SILENT SCREAM NIGHTMARE HALL #1,Diane Hoh,4.0
Go eat worms!,Robert Lawrence Stine,2.6
Look for me by moonlight,Mary Downing Hahn,5.0
"Melmoth, the Wanderer: a melo-dramatic romance, in three acts. (Founded on the popular novel of that name.) Performed, for the first time, at the Royal Coburg theatre, on Monday, July 14th, 1823.",Charles Robert Maturin,4.0
Faces Of Terror: Fear Street Sagas #13,Robert Lawrence Stine,4.0
The Dead,Charles Higson,5.0
Dean Koontz's Frankenstein: Book 3. Dead and alive,Dean Koontz,5.0
Deadly Attraction,Diane Hoh,4.5
The Cheerleader,Caroline B. Cooney,4.2
Round the fire stories,Arthur Conan Doyle,
Apt Pupil,Stephen King,4.2
Nightmare Hall #5 The Scream Team,Diane Hoh,4.0
Beware!: R.L. Stine Picks His Favorite Scary Stories,Robert Lawrence Stine,4.7
Collected ghost stories,Montague Rhodes James,4.0
The house next door,Anne Rivers Siddons,4.3
Werewolf Skin: Goosebumps #60,Robert Lawrence Stine,4.0
Tales of the Unexpected,Roald Dahl,3.5
Elevator to Nowhere: Give Yourself Goosebumps #34,Robert Lawrence Stine,3.2
Why I'm afraid of bees,Robert Lawrence Stine,2.7
The watcher in the shadows,Carlos Ruiz Zafón,3.7
Violin,Anne Rice,2.0
Summer of night,Dan Simmons,4.0
The Lost Girl: Fear Street Novel #3,R. L. Stine,
Music in the Night,V. C. Andrews,5.0
Chamber of Fear,Robert Lawrence Stine,
Hollow Places: A Novel,T. Kingfisher,4.0
Ring Shout,P. Djèlí Clark,3.8
Hide and Shriek: Ghosts of Fear Street #1,Robert Lawrence Stine,
落穴と振子,Edgar Allan Poe,3.0
Truth or die,Diane Hoh,4.5
Attack of the Mutant: Goosebumps #25,Robert Lawrence Stine,4.0
Moonlight Secrets: Fear Street Nights #1,R. L. Stine,
The Shrinking Man,Richard Matheson,3.9
"Night of the Living Dummy I, II, III",Robert Lawrence Stine,4.7
Cirque Du Freak #8: Allies of the Night: Book 8 in the Saga of Darren Shan (Cirque Du Freak: the Saga of Darren Shan),Darren Shan,4.7
Native Tongue,Suzette Haden Elgin,3.5
The Cuckoo Clock of Doom: Goosebumps #28,Robert Lawrence Stine,4.2
Clay,David Almond,4.0
Feed,Seanan McGuire,3.8
The Body,Carol Ellis,4.0
The manuscript found in Saragossa,Jan Potocki,5.0
Ilium,Dan Simmons,4.2
"Clockwork, or, All wound up",Philip Pullman,
The hidden evil,Robert Lawrence Stine,5.0
Stolen,Kelley Armstrong,4.2
Children of the night,Dan Simmons,3.0
Camp Fear,Carol Ellis,3.3
The Gilda stories,Jewelle Gomez,4.3
Chicken Chicken: Goosebumps #53,Robert Lawrence Stine,
I am Legend: and Other Stories,Richard Matheson,3.7
Halloween night II,Robert Lawrence Stine,
Took: a ghost story,Mary Downing Hahn,5.0
Into the Drowning Deep,Mira Grant,4.0
Freeze Tag,Caroline B. Cooney,4.2
Dark matter,Michelle Paver,4.8
Plain Bad Heroines,Emily M. Danforth,4.0
It Came From Beneath the Sink!: Goosebumps #30,Robert Lawrence Stine,3.7
Vampire Kisses 2: Kissing Coffins (Vampire Kisses),Ellen Schreiber,4.0
A judgment in stone,Ruth Rendell,2.5
Earthquake terror,Peg Kehret,5.0
The Sandman - Overture,Neil Gaiman,4.7
Star Wars: Death Troopers,Joe Schreiber,4.5
Escape From the Carnival of Horrors,Robert Lawrence Stine,
The shining ; 'Salem's Lot ; Carrie,Stephen King,1.0
I Saw You That Night!,Robert Lawrence Stine,2.0
Spawn,Todd McFarlane,5.0
Boy's life,Robert R. McCammon,4.0
Wolf rider: a tale of terror,Avi,5.0
City of Bones: Chroniken der Unterwelt 1,Cassandra Clare,
THE SCARY STORIES TREASURY,Alvin Schwartz,4.0
The Kings of Clonmel,John Flanagan,5.0
Birdman,Mo Hayder,2.5
Las cosas que perdimos en el fuego,Mariana Enríquez,4.3
Uncanny!: even more surprising stories,Paul Jennings,5.0
Dark Water,Kōji Suzuki,4.0
There Was an Old Lady Who Swallowed a Bat!,Lucille Colandro,4.0
Celeste,V. C. Andrews,
"Koontz: Three Complete Novels, Lightning, The Face Of Fear and The Vision",Dean Koontz,
"Museum of Terror, Volume 1",Junji Ito,5.0
Witch child,Celia Rees,4.0
The Works of Edgar Allan Poe in Five Volumes: Volume Three,Edgar Allan Poe,
The Magic Cottage,James Herbert,3.5
Serafina and the Black Cloak,Robert Beatty,5.0
"The monstrous-feminine: film, feminism, psychoanalysis",Barbara Creed,
Killers of the Dawn: Saga of Darren Shan,Darren Shan,4.4
A Head Full of Ghosts,Paul Tremblay,5.0
A Fine and Private Place,Peter S. Beagle,4.0
Monster (Point Horror Nightmare Hall),Diane Hoh,3.0
The Ring,Kōji Suzuki,3.0
The House Next Door,Richie Tankersley Cusick,4.2
The ghost of Thomas Kempe.,Penelope Lively,4.0
Eye of the storm,V. C. Andrews,3.0
Heart of the Hunter: Fear Street Sagas #9,R. L. Stine,
A head full of ghosts,Paul Tremblay,3.8
The last vampire 4: phantom,Christopher Pike,4.0
The Awakening,Kelley Armstrong,4.7
Mister B. Gone,Clive Barker,3.0
Frankenstein's Dog: Goosebumps Most Wanted #4,R. L. Stine,4.0
Iron Council,China Miéville,3.7
The three imposters,Arthur Machen,4.0
The Eternal Dawn,Christopher Pike,4.5
Eighth grade bites,Z Brewer,4.3
Who's Your Mummy?: Goosebumps HorrorLand #6,Robert Lawrence Stine,5.0
Conjure Wife,Fritz Leiber,3.0
The dark frigate: wherein is told the story of Philip Marsham who lived in the time of King Charles and was bred a sailor but came home to England...,Charles Boardman Hawes,2.5
The stranger,Caroline B. Cooney,4.0
Fright Christmas: Ghosts of Fear Street #15,Robert Lawrence Stine,
Class trip,Bebe Faas Rice,3.8
The Novel Of The Black Seal,Arthur Machen,
Fright Night,Elisabetta Dami,3.7
Curtains,Robert Lawrence Stine,
Slappy's nightmare,R. L. Stine,
Attack On Titan 1,Hajime Isayama,4.2
Invasion of the body snatchers,Jack Finney,3.6
"CHEERLEADERS: FEAR STREET COLLECTOR'S EDITION 12: (THE FIRST EVIL/THE SECOND EVIL/THE THIRD EVIL) (Fear Street , No 12)",Robert Lawrence Stine,
Hellsing.,Kohta Hirano,3.8
Phone Calls,Robert Lawrence Stine,2.0
Gremlins,George Gipe,4.0
Fear Street saga #15 Door of Death: Fear Street Sagas #15,R. L. Stine,
Help! We Have Strange Powers!: Goosebumps HorrorLand #10,Robert Lawrence Stine,
Dragon slayer: the story of Beowulf,Rosemary Sutcliff,3.5
Dark love,Nancy A. Collins,3.5
The vampire's assistant,Darren Shan,4.7
Frozen Charlotte,Alex Bell,4.7
The sight,David Clement-Davies,4.6
Bird Box,Josh Malerman,5.0
"Jujutsu Kaisen, Vol. 7",Gege Akutami,4.5
Tempted,P. C. Cast,3.7
Everville: the second book of the art,Clive Barker,4.5
Beware of the Purple Peanut Butter,Robert Lawrence Stine,2.0
Dracula's Guest,Bram Stoker,3.3
Welcome to Night Vale: A Novel,Joseph Fink,3.9
"The Kurosagi Corpse Delivery Service, Volume 6",Eiji Ōtsuka,5.0
Scare Squad: Here Comes the Dark!,James Holmes,
Secrets Fear Street Collectors Edition 3: The Confession What Holly Heard the Face (Fear Street Collector's Edition),Robert Lawrence Stine,4.0
Trials of death,Darren Shan,4.2
Amnesia,Sinclair Smith,4.0
77 Shadow Street,Dean Koontz,5.0
Nightmare Hall Book of horrors,Diane Hoh,5.0
The dream hunters,Neil Gaiman,4.2
Vampire Diaries (The Vampire Diaries),Lisa Smith,2.5
Lord Loss,Darren Shan,4.8
Comes the blind fury,John Saul,5.0
Lord of the shadows,Darren Shan,3.9
When the Ghost Dog Howls: Goosebumps HorrorLand #13,R. L. Stine,3.8
"Sorority Sister (Nightmare Hall, No 10)",Diane Hoh,3.3
Creatures of The Night (Fear Street: Collector's Edition #9): Haunted / Bad Moonlight / Trapped,R. L. Stine,4.0
Forbidden Secrets: Fear Street Sagas #3,R. L. Stine,5.0
The Dark Side,Susan Price,
The Manitou,Graham Masterton,4.0
Alone in Snakebite Canyon: Give Yourself Goosebumps #26,R. L. Stine,5.0
Son Of Slappy: Goosebumps Most Wanted #2,Robert Lawrence Stine,4.4
Say Cheese - and Die Screaming!,Robert Lawrence Stine,3.8
Weirdo Halloween: Goosebumps HorrorLand #16,R. L. Stine,4.0
Monster Blood IV: Goosebumps #62,R. L. Stine,2.5
Haunted,James Herbert,4.5
Art of Junji Ito: Twisted Visions,Junji Ito,3.0
Don't forget me!,Robert Lawrence Stine,
Julia,Peter Straub,3.0
The Scream of the Haunted Mask,Robert Lawrence Stine,4.5
I am not a serial killer,Dan Wells,4.5
"Grendel: black, white & red",Matt Wagner,4.0
Nightmare Hall The Initiation,Diane Hoh,4.0
The Oxford Book of Gothic Tales,Chris Baldick,
Batman: knightfall,Dennis O'Neil,3.0
Midnight Diary Fear Street (Fear Street Superchillers),R. L. Stine,
Creature Teacher: Goosebumps Series 2000 #3,Robert Lawrence Stine,3.0
Great Short stories of the World,Isak Dinesen,
"Thirst No. 2: Phantom, Evil Thirst, and Creatures of Forever (Last Vampire Series)",Christopher Pike,4.8
Moving Pictures,Terry Pratchett,4.0
The Jennifer Morgue,Charles Stross,3.8
Strange Library,村上春樹,3.8
How To Be a Vampire: Ghosts of Fear Street #13,Katy Hall,
Stories from the Twilight zone,Rod Serling,
Jekyll and Heidi: Goosebumps Series 2000 #14,R. L. Stine,5.0
Songs of a Dead Dreamer,Thomas Ligotti,4.5
Nightmare on Clown Street: Goosebumps Most Wanted #7,Robert Lawrence Stine,
The Lake of Souls (Saga of Darren Shan),Darren Shan,4.6
Those across the river,Christopher Buehlman,4.8
The Surfer (Point Horror S.),Linda Cargill,
Kidnapped: Nightmare Hall,Diane Hoh,4.5
The Good House: A Novel,Tananarive Due,2.7
The star group,Christopher Pike,5.0
Who goes there?: Seven tales of science-fiction,John W. Campbell,3.7
The Ripper (Point),D. E. Athkins,3.0
Monster Blood III: Goosebumps #29,Robert Lawrence Stine,2.7
Camp Out,Robert Lawrence Stine,
In the flesh,Clive Barker,5.0
More Tales to Give You Goosebumps: Ten spooky stories - Special Edition #2,R. L. Stine,3.0
"True Irish ghost stories: haunted houses, banshees, poltergeists, and other supernatural phenomena",St. John D. Seymour,3.0
Creepella von Cacklefur 02 Meet me in Horrorwood,Elisabetta Dami,4.4
"Mummy, the",Barbara Steiner,4.0
"The Night Walker (Nightmare Hall, No 9)",Diane Hoh,3.7
Christmas Killer (Point),Patricia Windsor,4.5
One for sorrow: a ghost story,Mary Downing Hahn,4.5
"This Book is Full of Spiders: Seriously Dude, Don't Touch It",David Wong,4.2
Scary Birthday to You!: Give Yourself Goosebumps #39,R. L. Stine,5.0
Blood Communion: A Tale of Prince Lestat,Anne Rice,
El museo de Historia Antinatural prsenta:Criaturas fantásticas,Neil Gaiman,
The nightmare room: the nightmare begins,R. L. Stine,
The keys to the street: a novel of suspense,Ruth Rendell,4.0
Song of Kali,Dan Simmons,4.2
Magic fire,Christopher Pike,3.5
More & More & More Tales to Give You Goosebumps: Ten Spooky Stories,R. L. Stine,4.3
The fall of the house of Usher and other tales,Edgar Allan Poe,3.5
Smashed: Junji Ito Story Collection,Junji Ito,4.7
Wizard of Ooze: Goosebumps Horrorland #17,R. L. Stine,5.0
Dark Gods: four tales,T. E. D. Klein,
Ghost walk,Heather Graham,5.0
Tales,H.P. Lovecraft,4.3
"Jason's Curse (Friday the 13th: Camp Crystal Lake, Book 2)",Eric Morse,
Peter Benchley's Creature,Peter Benchley,
Darkest Dawn: Fear Street Nights #3,Robert Lawrence Stine,
Dead Town,Dean Koontz,2.0
The winter people,Jennifer McMahon,4.0
In the night room: a novel,Peter Straub,3.0
Melmoth the Wanderer,Charles Maturin,
Legend of the Lost Legend: Goosebumps #47,Robert Lawrence Stine,4.3
Tales of the Unexpected,Roald Dahl,
"The Walking Dead, Compendium One",Robert Kirkman,4.6
Eve's Party (Point Horror Unleashed),Nick Turnbull,
"THE R.L.STINE COLLECTION: ""BABYSITTER"" , ""BABYSITTER NO.2"" , ""BABYSITTER NO.3"": ""BABYSITTER"", ""BABYS",Robert Lawrence Stine,3.0
The Awakening Evil: Fear Street Sagas #10,R. L. Stine,5.0
The Pinhoe Egg: A Chrestomanci Book,Diana Wynne Jones,4.5
Fantômas,Pierre Souvestre,3.0
Alfred Hitchcock’s Spellbinders in Suspense,Alfred Hitchcock,
Tokyo Ghoul: Past,Sui Ishida,
Hide and Shriek II: Ghosts of Fear Street #28,Robert Lawrence Stine,5.0
Drood,Dan Simmons,3.6
The Elementals,Michael McDowell,5.0
The call of Cthulhu and other weird stories,H.P. Lovecraft,4.2
Butterfly,V. C. Andrews,4.0
Gwendy's Final Task,Stephen King,5.0
"Dear diary, I'm dead",Robert Lawrence Stine,
Dr. Maniac vs. Robby Schwartz: Goosebumps HorrorLand #5,Robert Lawrence Stine,5.0
Last Days,Adam Nevill,3.0
The League of Extraordinary Gentlemen - Volume One,Alan Moore,3.9
Return to the carnival of horrors,Robert Lawrence Stine,
Bare bones: conversations on terror with Stephen King,Stephen King,5.0
The Toynbee Convector,Ray Bradbury,4.0
My Friend Walter,Michael Morpurgo,3.0
"Abraham Lincoln, vampire hunter",Seth Grahame-Smith,3.4
Son of Rosemary,Ira Levin,2.0
The phantom of the Opera: a musical play,Gaston Leroux,
Night in Werewolf Woods: Give Yourself Goosebumps #5,Robert Lawrence Stine,3.0
Se: House,Ted Dekker,4.7
The drifter,Richie Tankersley Cusick,4.0
Night school,Caroline B. Cooney,3.0
Eye of the Fortuneteller: Ghosts of Fear Street #6,Robert Lawrence Stine,3.5
I Am Slappy's Evil Twin: Goosebumps SlappyWorld #3,Robert Lawrence Stine,4.8
Twisted Roots,V. C. Andrews,
The Horrors: Terrifying Tales,Peter Carver,4.0
Buffy the Vampire Slayer: The Long Way Home (Buffy the Vampire Slayer: Season 8 #1),Joss Whedon,4.0
The fall,Garth Nix,4.3
Lightning Strikes,V. C. Andrews,1.0
The dream-quest of unknown Kadath,H.P. Lovecraft,4.5
Headless Halloween,Robert Lawrence Stine,
Phantom of the Opera: Large Print,Gaston Leroux,4.0
